checking_status,duration_months,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,num_existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk,credit_risk_label,checking_status_eur,savings_status_eur,credit_amount_eur
>=200 DM / salary assignments,12,existing credits paid duly till now,radio/television,1297,<100 DM,1-4 years,3,male : married/widowed,none,4,real estate,23,none,rent,1,skilled employee / official,1,none,yes,1,good,>=175 EUR / salary assignments,<87 EUR,1135.05
<0 DM,12,existing credits paid duly till now,car (new),900,unknown / no savings account,1-4 years,4,male : married/widowed,none,2,car or other (not in attribute 6),23,none,own,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,unknown / no savings account,787.62
no checking account,21,existing credits paid duly till now,furniture/equipment,2241,<100 DM,>=7 years,4,male : single,none,2,real estate,50,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,1961.18
0-200 DM,6,delay in paying off in the past,furniture/equipment,1050,<100 DM,unemployed,4,male : single,none,1,building society savings / life insurance,35,stores,own,2,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,918.89
>=200 DM / salary assignments,6,critical account / other credits,education,1047,<100 DM,1-4 years,2,female : divorced/separated/married,none,4,building society savings / life insurance,50,none,own,1,unskilled resident,1,none,yes,1,good,>=175 EUR / salary assignments,<87 EUR,916.27
no checking account,24,critical account / other credits,others,6314,<100 DM,unemployed,4,male : single,co-applicant,2,unknown / no property,27,bank,own,2,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,5525.62
0-200 DM,30,all credits at this bank paid duly,furniture/equipment,3496,>=1000 DM,1-4 years,4,male : single,none,2,car or other (not in attribute 6),34,stores,own,1,skilled employee / official,2,"yes, registered under customer name",yes,1,good,0-175 EUR,>=875 EUR,3059.48
no checking account,48,all credits at this bank paid duly,business,3609,<100 DM,1-4 years,1,female : divorced/separated/married,none,1,real estate,27,stores,own,1,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,3158.37
<0 DM,12,critical account / other credits,car (new),4843,<100 DM,>=7 years,3,male : single,co-applicant,4,building society savings / life insurance,43,none,rent,2,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,4238.29
>=200 DM / salary assignments,30,critical account / other credits,radio/television,3017,<100 DM,>=7 years,4,male : single,none,4,building society savings / life insurance,47,none,own,1,skilled employee / official,1,none,yes,1,good,>=175 EUR / salary assignments,<87 EUR,2640.29
no checking account,24,critical account / other credits,business,4139,100-500 DM,1-4 years,3,male : single,none,3,building society savings / life insurance,27,none,own,2,unskilled resident,1,"yes, registered under customer name",yes,1,good,no checking account,87-437 EUR,3622.2
no checking account,36,existing credits paid duly till now,business,5742,100-500 DM,4-7 years,2,male : single,none,2,car or other (not in attribute 6),31,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,87-437 EUR,5025.04
no checking account,60,existing credits paid duly till now,car (new),10366,<100 DM,>=7 years,2,male : single,none,4,building society savings / life insurance,42,none,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,9071.68
no checking account,6,critical account / other credits,car (new),2080,500-1000 DM,1-4 years,1,male : married/widowed,none,2,car or other (not in attribute 6),24,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,437-875 EUR,1820.29
no checking account,21,delay in paying off in the past,business,2580,500-1000 DM,<1 year,4,male : single,none,2,real estate,41,bank,own,1,unskilled resident,2,none,yes,2,bad,no checking account,437-875 EUR,2257.86
no checking account,30,critical account / other credits,radio/television,4530,<100 DM,4-7 years,4,female : divorced/separated/married,none,4,car or other (not in attribute 6),26,none,rent,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,3964.38
no checking account,24,critical account / other credits,furniture/equipment,5150,<100 DM,>=7 years,4,male : single,none,4,car or other (not in attribute 6),33,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,4506.96
0-200 DM,72,existing credits paid duly till now,radio/television,5595,100-500 DM,1-4 years,2,male : married/widowed,none,2,car or other (not in attribute 6),24,none,own,1,skilled employee / official,1,none,yes,2,bad,0-175 EUR,87-437 EUR,4896.4
<0 DM,24,existing credits paid duly till now,radio/television,2384,<100 DM,>=7 years,4,male : single,none,4,real estate,64,bank,rent,1,unskilled resident,1,none,yes,1,good,<0 EUR,<87 EUR,2086.33
no checking account,18,existing credits paid duly till now,radio/television,1453,<100 DM,<1 year,3,female : divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,1271.58
no checking account,6,existing credits paid duly till now,education,1538,<100 DM,<1 year,1,female : divorced/separated/married,none,2,unknown / no property,56,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,1345.96
no checking account,12,existing credits paid duly till now,radio/television,2279,unknown / no savings account,1-4 years,4,male : single,none,4,unknown / no property,37,none,for free,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,1994.44
no checking account,15,delay in paying off in the past,radio/television,1478,<100 DM,1-4 years,4,male : married/widowed,none,3,real estate,33,bank,own,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,1293.45
no checking account,24,critical account / other credits,radio/television,5103,<100 DM,<1 year,3,male : married/widowed,none,3,unknown / no property,47,none,for free,3,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,4465.83
0-200 DM,36,delay in paying off in the past,business,9857,100-500 DM,4-7 years,1,male : single,none,3,building society savings / life insurance,31,none,own,2,unskilled resident,2,"yes, registered under customer name",yes,1,good,0-175 EUR,87-437 EUR,8626.24
no checking account,60,existing credits paid duly till now,car (new),6527,unknown / no savings account,1-4 years,4,male : single,none,4,unknown / no property,34,none,for free,1,skilled employee / official,2,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,5712.03
>=200 DM / salary assignments,10,critical account / other credits,radio/television,1347,unknown / no savings account,4-7 years,4,male : single,none,2,building society savings / life insurance,27,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,>=175 EUR / salary assignments,unknown / no savings account,1178.81
0-200 DM,36,delay in paying off in the past,car (new),2862,100-500 DM,>=7 years,4,male : single,none,3,unknown / no property,30,none,for free,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,87-437 EUR,2504.65
no checking account,9,existing credits paid duly till now,radio/television,2753,100-500 DM,>=7 years,3,male : single,co-applicant,4,car or other (not in attribute 6),35,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,87-437 EUR,2409.26
<0 DM,12,existing credits paid duly till now,car (new),3651,>=1000 DM,1-4 years,1,male : single,none,3,building society savings / life insurance,31,none,own,1,skilled employee / official,2,none,yes,1,good,<0 EUR,>=875 EUR,3195.13
<0 DM,15,critical account / other credits,furniture/equipment,975,<100 DM,1-4 years,2,male : divorced/separated,none,3,building society savings / life insurance,25,none,own,2,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,853.26
0-200 DM,15,existing credits paid duly till now,repairs,2631,100-500 DM,1-4 years,3,female : divorced/separated/married,none,2,real estate,25,none,own,1,unskilled resident,1,none,yes,1,good,0-175 EUR,87-437 EUR,2302.49
0-200 DM,24,existing credits paid duly till now,radio/television,2896,100-500 DM,<1 year,2,male : single,none,1,car or other (not in attribute 6),29,none,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,87-437 EUR,2534.4
<0 DM,6,critical account / other credits,car (new),4716,unknown / no savings account,<1 year,1,male : single,none,3,real estate,44,none,own,2,unskilled resident,2,none,yes,1,good,<0 EUR,unknown / no savings account,4127.15
no checking account,24,existing credits paid duly till now,radio/television,2284,<100 DM,4-7 years,4,male : single,none,2,car or other (not in attribute 6),28,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,1998.82
no checking account,6,existing credits paid duly till now,car (used),1236,500-1000 DM,1-4 years,2,male : single,none,4,building society savings / life insurance,50,none,rent,1,skilled employee / official,1,none,yes,1,good,no checking account,437-875 EUR,1081.67
0-200 DM,12,existing credits paid duly till now,radio/television,1103,<100 DM,4-7 years,4,male : single,guarantor,3,real estate,29,none,own,2,skilled employee / official,1,none,no,1,good,0-175 EUR,<87 EUR,965.28
no checking account,12,critical account / other credits,car (new),926,<100 DM,unemployed,1,female : divorced/separated/married,none,2,building society savings / life insurance,38,none,own,1,unemployed / unskilled non-resident,1,none,yes,1,good,no checking account,<87 EUR,810.38
no checking account,18,critical account / other credits,radio/television,1800,<100 DM,1-4 years,4,male : single,none,2,car or other (not in attribute 6),24,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,1575.25
>=200 DM / salary assignments,15,existing credits paid duly till now,education,1905,<100 DM,>=7 years,4,male : single,none,4,car or other (not in attribute 6),40,none,rent,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,>=175 EUR / salary assignments,<87 EUR,1667.14
no checking account,12,existing credits paid duly till now,furniture/equipment,1123,500-1000 DM,1-4 years,4,female : divorced/separated/married,none,4,car or other (not in attribute 6),29,none,rent,1,unskilled resident,1,none,yes,2,bad,no checking account,437-875 EUR,982.78
<0 DM,48,critical account / other credits,car (used),6331,<100 DM,>=7 years,4,male : single,none,4,unknown / no property,46,none,for free,2,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,5540.5
>=200 DM / salary assignments,24,existing credits paid duly till now,radio/television,1377,100-500 DM,>=7 years,4,female : divorced/separated/married,none,2,unknown / no property,47,none,for free,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,>=175 EUR / salary assignments,87-437 EUR,1205.07
0-200 DM,30,delay in paying off in the past,business,2503,100-500 DM,>=7 years,4,male : single,none,2,building society savings / life insurance,41,stores,own,2,skilled employee / official,1,none,yes,1,good,0-175 EUR,87-437 EUR,2190.47
0-200 DM,27,existing credits paid duly till now,business,2528,<100 DM,<1 year,4,female : divorced/separated/married,none,1,building society savings / life insurance,32,none,own,1,skilled employee / official,2,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,2212.35
no checking account,15,existing credits paid duly till now,car (new),5324,500-1000 DM,>=7 years,1,female : divorced/separated/married,none,4,unknown / no property,35,none,for free,1,skilled employee / official,1,none,yes,1,good,no checking account,437-875 EUR,4659.23
0-200 DM,48,existing credits paid duly till now,car (new),6560,100-500 DM,4-7 years,3,male : single,none,2,building society savings / life insurance,24,none,own,1,skilled employee / official,1,none,yes,2,bad,0-175 EUR,87-437 EUR,5740.91
0-200 DM,12,no credits taken / all paid duly,furniture/equipment,2969,<100 DM,<1 year,4,female : divorced/separated/married,none,3,building society savings / life insurance,25,none,rent,2,skilled employee / official,1,none,yes,2,bad,0-175 EUR,<87 EUR,2598.28
0-200 DM,9,existing credits paid duly till now,radio/television,1206,<100 DM,>=7 years,4,female : divorced/separated/married,none,4,real estate,25,none,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,<87 EUR,1055.42
0-200 DM,9,existing credits paid duly till now,radio/television,2118,<100 DM,1-4 years,2,male : single,none,2,real estate,37,none,own,1,unskilled resident,2,none,yes,1,good,0-175 EUR,<87 EUR,1853.54
no checking account,18,critical account / other credits,radio/television,629,500-1000 DM,>=7 years,4,male : single,none,3,building society savings / life insurance,32,bank,own,2,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,no checking account,437-875 EUR,550.46
